city,lat,lng,id
New York,40.6943,-73.9249,1840034016
Los Angeles,34.1139,-118.4068,1840020491
Chicago,41.8373,-87.6862,1840000494
Miami,25.7839,-80.2102,1840015149
Dallas,32.7936,-96.7662,1840019440
Philadelphia,40.0077,-75.1339,1840000673
Houston,29.7863,-95.3889,1840020925
Atlanta,33.7627,-84.4224,1840013660
Washington,38.9047,-77.0163,1840006060
Boston,42.3188,-71.0846,1840000455
Phoenix,33.5722,-112.0891,1840020568
Seattle,47.6211,-122.3244,1840021117
San Francisco,37.7562,-122.443,1840021543
Detroit,42.3834,-83.1024,1840003971
San Diego,32.8312,-117.1225,1840021990
Minneapolis,44.9635,-93.2678,1840007830
Tampa,27.9942,-82.4451,1840015982
Denver,39.7621,-104.8759,1840018789
Brooklyn,40.6501,-73.9496,1840034030
Queens,40.7498,-73.7976,1840034002
Riverside,33.9381,-117.3948,1840020551
Baltimore,39.3051,-76.6144,1840001592
Las Vegas,36.2333,-115.2654,1840020364
Portland,45.5372,-122.65,1840019941
San Antonio,29.4658,-98.5253,1840022220
St. Louis,38.6358,-90.2451,1840001651
Sacramento,38.5667,-121.4683,1840021491
Orlando,28.4772,-81.3369,1840015099
San Jose,37.3019,-121.8486,1840021570
Cleveland,41.4767,-81.6804,1840000596
Pittsburgh,40.4396,-79.9762,1840001254
Austin,30.3004,-97.7522,1840019590
Cincinnati,39.1413,-84.5061,1840003814
Kansas City,39.1239,-94.5541,1840008535
Manhattan,40.7834,-73.9662,1840034000
Indianapolis,39.7771,-86.1458,1840030084
Columbus,39.9862,-82.985,1840003760
Charlotte,35.208,-80.8304,1840014557
Virginia Beach,36.7335,-76.0435,1840003871
Bronx,40.8501,-73.8662,1840033999
Milwaukee,43.0642,-87.9673,1840003046
Providence,41.823,-71.4187,1840003289
Jacksonville,30.3322,-81.6749,1840015031
Salt Lake City,40.7777,-111.9306,1840021383
Nashville,36.1715,-86.7843,1840036155
Richmond,37.5295,-77.4756,1840001698
Memphis,35.1046,-89.9773,1840015457
Raleigh,35.8325,-78.6435,1840014497
New Orleans,30.0687,-89.9288,1840001839
Louisville,38.1663,-85.6485,1840030815
Oklahoma City,35.4676,-97.5136,1840020428
Bridgeport,41.1918,-73.1953,1840004836
Buffalo,42.9016,-78.8487,1840000386
Fort Worth,32.7811,-97.3473,1840020696
Hartford,41.7661,-72.6834,1840004773
Tucson,32.1545,-110.8782,1840022101
Omaha,41.2627,-96.0522,1840009315
El Paso,31.8479,-106.4309,1840023252
Honolulu,21.3294,-157.846,1840013305
McAllen,26.2273,-98.2471,1840021024
Albuquerque,35.1053,-106.6464,1840019176
Birmingham,33.5277,-86.7987,1840006507
Sarasota,27.3386,-82.5431,1840015988
Dayton,39.7797,-84.1998,1840034249
Rochester,43.168,-77.6162,1840000373
Fresno,36.7831,-119.7941,1840020319
Allentown,40.5961,-75.4756,1840001044
Tulsa,36.1284,-95.9042,1840021672
Cape Coral,26.6446,-81.9956,1840015130
Concord,37.9722,-122.0016,1840018905
Colorado Springs,38.8674,-104.7606,1840018825
Charleston,32.8153,-79.9628,1840015163
Springfield,42.1155,-72.5395,1840000466
Grand Rapids,42.962,-85.6562,1840002928
Mission Viejo,33.6095,-117.655,1840020580
Albany,42.6664,-73.7987,1840000417
Knoxville,35.9692,-83.9496,1840014486
Bakersfield,35.3529,-119.0359,1840019148
Ogden,41.2278,-111.9682,1840020135
Baton Rouge,30.4418,-91.131,1840013941
Akron,41.0798,-81.5219,1840000791
New Haven,41.3112,-72.9246,1840004850
Columbia,34.0376,-80.9037,1840014730
Mesa,33.4017,-111.718,1840020566
Palm Bay,27.955,-80.6627,1840015094
Provo,40.2457,-111.6457,1840020174
Worcester,42.2705,-71.8079,1840000434
Murrieta,33.572,-117.1909,1840020553
Greenville,34.8353,-82.3647,1840013501
Wichita,37.6896,-97.3442,1840001686
Toledo,41.6639,-83.5822,1840000572
Staten Island,40.5834,-74.1496,1840034032
Des Moines,41.5725,-93.6105,1840007069
Long Beach,33.7981,-118.1675,1840020490
Port St. Lucie,27.2796,-80.3883,1840015119
Denton,33.2176,-97.1419,1840019390
Madison,43.0826,-89.3931,1840002915
Reno,39.5497,-119.8483,1840020121
Harrisburg,40.2752,-76.8843,1840001288
Little Rock,34.7256,-92.3576,1840015509
Oakland,37.7903,-122.2165,1840020296
Durham,35.9794,-78.9031,1840013364
Winston-Salem,36.1029,-80.2611,1840015324
Bonita Springs,26.3559,-81.7861,1840014227
Indio,33.7346,-116.2346,1840019304
Palm Coast,29.5392,-81.246,1840015064
Chattanooga,35.0657,-85.2488,1840014569
Spokane,47.6671,-117.433,1840021093
Syracuse,43.0409,-76.1438,1840000378
Lancaster,40.0421,-76.3012,1840003718
Arlington,32.6998,-97.125,1840019422
Stockton,37.9765,-121.3109,1840021517
Poughkeepsie,41.6949,-73.921,1840000500
Augusta,33.3645,-82.0708,1840029462
Boise,43.6007,-116.2312,1840027142
Oxnard,34.1963,-119.1815,1840020474
Scranton,41.4044,-75.6649,1840003389
Modesto,37.6374,-121.0028,1840020287
Kissimmee,28.3042,-81.4164,1840015109
Aurora,39.7087,-104.7273,1840018794
Youngstown,41.0993,-80.6463,1840003563
Fayetteville,36.0713,-94.166,1840013368
Anaheim,33.839,-117.8572,1840019322
Pensacola,30.4427,-87.1886,1840015005
Victorville,34.5277,-117.3536,1840021731
Lancaster,34.6935,-118.1753,1840020516
Greensboro,36.0956,-79.8269,1840013356
Corpus Christi,27.726,-97.3755,1840019718
Fort Wayne,41.0886,-85.1437,1840008261
Santa Ana,33.7366,-117.8819,1840021964
Flint,43.0235,-83.6922,1840002949
Fayetteville,35.0846,-78.9776,1840013490
Jackson,32.3163,-90.2124,1840014895
Santa Rosa,38.4458,-122.7067,1840021488
Lansing,42.7142,-84.5601,1840003102
San Juan,18.4037,-66.0636,1630035577
Lexington,38.0423,-84.4587,1840015211
Ann Arbor,42.2755,-83.7312,1840003172
Henderson,36.0133,-115.038,1840020361
Huntsville,34.6988,-86.6412,1840005061
Mobile,30.6783,-88.1162,1840006009
Fort Collins,40.5478,-105.0656,1840020151
Asheville,35.5704,-82.5536,1840013411
Santa Clarita,34.4175,-118.4964,1840021864
St. Paul,44.9477,-93.104,1840008940
Antioch,37.9789,-121.7958,1840018903
Lakeland,28.0556,-81.9545,1840015108
Trenton,40.2236,-74.7641,1840001383
Lincoln,40.809,-96.6788,1840009357
Springfield,37.1943,-93.2916,1840009904
Anchorage,61.1508,-149.1091,1840023385
Plano,33.0502,-96.7487,1840020662
Irvine,33.6772,-117.7738,1840019325
Davenport,41.5563,-90.6052,1840007081
Rockford,42.2597,-89.0641,1840009132
Newark,40.7245,-74.1725,1840002791
South Bend,41.6767,-86.2696,1840009241
Shreveport,32.4656,-93.7956,1840015768
Round Lake Beach,42.379,-88.0811,1840011171
Savannah,32.0281,-81.1784,1840015830
Myrtle Beach,33.7096,-78.8843,1840014717
Chula Vista,32.6281,-117.0145,1840019350
Eugene,44.0563,-123.1173,1840020007
Canton,40.8075,-81.3677,1840000963
Lubbock,33.5659,-101.8878,1840020604
Reading,40.34,-75.9267,1840001185
Winter Haven,28.0118,-81.7017,1840015970
Salem,44.9231,-123.0246,1840021224
St. Petersburg,27.7931,-82.6652,1840015977
Lafayette,30.2084,-92.0323,1840015044
Laredo,27.5629,-99.4875,1840021002
Jersey City,40.7161,-74.0682,1840003600
Concord,35.3933,-80.6366,1840014559
Columbus,32.51,-84.8771,1840014887
Chandler,33.2826,-111.8516,1840019309
McKinney,33.2015,-96.6669,1840020657
Scottsdale,33.6872,-111.8651,1840021940
